,Keys,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
92,ao,"shirt, blouse ",13,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']",clothes - pretty - skirt - blanket - cloth - loincloth - clothing - trousers - waist - paper,1.0,False
93,"apa, apo apa",to dream of something that happened during the day,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
94,apah,"to pay wages, to reward",55,55_pay_debt_restitution_give,"['pay', 'debt', 'restitution', 'give', 'back', 'addition', 'community', 'damages', 'collect', 'wages']","['to pay for by working', 'to pay back debt ', 'to pay fine, give back, make restitution, pay rent ']",pay - debt - restitution - give - back - addition - community - damages - collect - wages,1.0,False
95,apĩnh,"ask for, beg for",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
96,apo,to dream,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
97,apoh,to communicate a disease,5,5_quiet_speak_talk_yell,"['quiet', 'speak', 'talk', 'yell', 'hear', 'talking', 'sing', 'laugh', 'low', 'mumble']","['to be quiet t', 'to be quiet', 'to speak, talk ']",quiet - speak - talk - yell - hear - talking - sing - laugh - low - mumble,0.7587639301656142,False
98,apôm,"round, roundish",79,79_flat_smooth_bumpy_flatsurfaced,"['flat', 'smooth', 'bumpy', 'flatsurfaced', 'object', 'rough', 'smoothsurfaced', 'flight', 'led', 'roundish']","['to describe flat-surfaced object in flight', 'to describe flat-surfaced object', 'flat ']",flat - smooth - bumpy - flatsurfaced - object - rough - smoothsurfaced - flight - led - roundish,0.9091360779710156,False
99,apơi,"to wish, beseech",27,27_desire_want_eager_do,"['desire', 'want', 'eager', 'do', 'wish', 'wants', 'greedy', 'purpose', 'no', 'what']","['to want, desire', 'to want, desire ', 'to want, desire']",desire - want - eager - do - wish - wants - greedy - purpose - no - what,0.5794713979854129,False
100,apŭng,section area,32,32_village_house_villages_intensification,"['village', 'house', 'villages', 'intensification', 'section', 'empty', 'area', 'large', 'old', 'indicate']","['to designate large village', 'large village', 'village']",village - house - villages - intensification - section - empty - area - large - old - indicate,0.9312475256687144,False
101,arah,bedbug,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
102,arăk,"crisp, brittle, hard",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
103,arăng,hard (material),-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
104,arăng grăng,"well, having no illness",31,31_sick_fever_sore_sickness,"['sick', 'fever', 'sore', 'sickness', 'faint', 'breath', 'breathe', 'working', 'from', 'severe']","['to be sore from working ', 'fever', 'after sickness when feeling almost well to have a bath and then get sick and die ']",sick - fever - sore - sickness - faint - breath - breathe - working - from - severe,0.7450018071192944,False
105,areh,to hate,29,29_angry_sad_threaten_crestfallen,"['angry', 'sad', 'threaten', 'crestfallen', 'hate', 'belittle', 'offended', 'insult', 'at', 'attitude']","['to make sad, angry ', 'to be angry ', 'to be angry']",angry - sad - threaten - crestfallen - hate - belittle - offended - insult - at - attitude,0.9040559524849825,False
106,areh,a type of tree,16,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']",tree - trees - log - branch - branches - stump - pitch - dead - trunk - rub,0.8410410196565682,True
107,arih,to live,10,10_live_go_long_die,"['live', 'go', 'long', 'die', 'somewhere', 'away', 'defeated', 'detour', 'escape', 'home']","['to live', 'to live long', 'to escape, flee, go away']",live - go - long - die - somewhere - away - defeated - detour - escape - home,1.0,True
108,aroh,type of tree with fruit used to trap birds,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
109,arỡp-arăp,bad backache,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
110,arum,roar of tiger,42,42_tiger_roar_elephant_color,"['tiger', 'roar', 'elephant', 'color', 'leopard', 'patterns', 'gecko', 'leap', 'sound', 'face']","['sound of roar of tiger', 'roar of tiger', 'tiger']",tiger - roar - elephant - color - leopard - patterns - gecko - leap - sound - face,1.0,True
111,asai,to fish with rod,12,12_fish_catch_net_rod,"['fish', 'catch', 'net', 'rod', 'shrimp', 'fishing', 'string', 'hunt', 'torch', 'line']","['a type of fish', 'type of fish', 'fish']",fish - catch - net - rod - shrimp - fishing - string - hunt - torch - line,1.0,False
112,aseh,horse,14,14_horse_pig_wild_boar,"['horse', 'pig', 'wild', 'boar', 'animal', 'cow', 'oink', 'cowlick', 'wolf', 'cat']","['cowlick of horse or cow', 'horse', 'mane of horse, pig']",horse - pig - wild - boar - animal - cow - oink - cowlick - wolf - cat,1.0,True
113,asêu,sound of sneeze,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,1.0,False
114,asi,chirp of bird,1,1_bird_birds_wings_rooster,"['bird', 'birds', 'wings', 'rooster', 'duck', 'nest', 'hen', 'pigeon', 'chickens', 'describe']","['a type of bird', 'bird', 'bird']",bird - birds - wings - rooster - duck - nest - hen - pigeon - chickens - describe,0.6083544866817661,False
115,asong,"to divide, distribute",88,88_divide_split_part_portion,"['divide', 'split', 'part', 'portion', 'distribute', 'partition', 'ways', 'groups', 'division', 'chapter']","['to divide up', 'to divide, distribute', 'to divide up and give, distribute']",divide - split - part - portion - distribute - partition - ways - groups - division - chapter,1.0,True
116,asu,to cover oneself with a blanket,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
117,ataih,far,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
118,ataih yaih,very far,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
119,ată,"give authority, request, accuse",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
120,atăng,to hang up - as a banner,67,67_tie_hang_tying_hook,"['tie', 'hang', 'tying', 'hook', 'well', 'banner', 'connector', 'method', 'frequently', 'knot']","['to pull, to tie well', 'to tie well (over and over)', 'to tie']",tie - hang - tying - hook - well - banner - connector - method - frequently - knot,0.6648441317770478,False
121,atăr,strap of basket ,66,66_basket_backbasket_strap_back,"['basket', 'backbasket', 'strap', 'back', 'small', 'carry', 'tray', 'belongings', 'bottom', 'cage']","['small back basket ', 'small back basket', 'type of basket']",basket - backbasket - strap - back - small - carry - tray - belongings - bottom - cage,1.0,False
122,ate ,type of gruel eaten with rest of meal-meat and bamboo sprouts,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,0.5259945665402026,False
123,"athay, athei","to command, order ",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
124,athĕn,"to command, order",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
125,atol,to hang,67,67_tie_hang_tying_hook,"['tie', 'hang', 'tying', 'hook', 'well', 'banner', 'connector', 'method', 'frequently', 'knot']","['to pull, to tie well', 'to tie well (over and over)', 'to tie']",tie - hang - tying - hook - well - banner - connector - method - frequently - knot,0.7423759033643099,False
126,atop ,to roll up in,99,99_roll_unroll_ball_fall,"['roll', 'unroll', 'ball', 'fall', 'up', 'rolled', 'curl', 'mat', 'bunch', 'rock']","['to roll', 'to roll up in', 'to roll up']",roll - unroll - ball - fall - up - rolled - curl - mat - bunch - rock,1.0,True
127,atŏ,equal,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
128,atŏk,to lift something up,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
