,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
125,to hang,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
126,to roll up in,66,66_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to roll up, curl up body ', 'to roll up in', 'to roll up']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
127,equal,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
128,to lift something up,52,52_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to jack up, lift up by putting something in under; pain or ache from objects pressing against body ', 'to pull', 'to pull']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
129,stalk of bananas,79,79_bananas_banana_yellow_fat,"['bananas', 'banana', 'yellow', 'fat', 'potato', 'long', 'short', 'overcooked', 'honeythick', 'bud']","['short fat yellow bananas also known as ""Vietnamese bananas""', 'short fat yellow bananas', 'long yellow bananas']",bananas - banana - yellow - fat - potato - long - short - overcooked - honeythick - bud,1.0,False
130,stem ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
131,"ghost, corpse",6,6_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['commune with the spirits, sacrifice ', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ', 'ceremony for someone who has died away from home and body not returned']",human activity -  -  -  -  -  -  -  -  - ,0.9319282925041225,False
132,to fasten thatch to roof frame ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
133,sticks used as frame in weaving,12,12_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['instrument used to keep thread close together in weaving', 'an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving']",human activity -  -  -  -  -  -  -  -  - ,0.4348088173652983,False
134,"to fall short of the mark, to move backward",33,33_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
135,section of bamboo,8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,0.5080141998899121,False
136,type of bird living on ground,26,26_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a type of bird', 'bird', 'bird']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
137,"to serve, help ",0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.8770582299385665,False
138,"trouble, unrest, dislike ",15,15_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry ', 'to be angry', 'to make sad, angry ']",language -  -  -  -  -  -  -  -  - ,0.8916117611948048,False
139,enemy ,62,62_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to try to win, to have a contest ', 'to knock; to fight each other', 'fight each other ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
140,compassionate,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
141,sing,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
142,of a smell to permeate,86,86_smell_bad_smelly_stink,"['smell', 'bad', 'smelly', 'stink', 'fragrant', 'backache', 'nice', 'mess', 'permeate', 'rotten']","['white, clean, no smell ', 'bad smell of old meat', 'bad smell']",smell - bad - smelly - stink - fragrant - backache - nice - mess - permeate - rotten,1.0,False
143,"where, which",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
144,intensifier ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
145,give ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.8406335204346462,False
146,a yoke,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
147,1st person dual inclusive ,64,64_language___,"['language', '', '', '', '', '', '', '', '', '']","['1st person dual exclusive pronoun', '2nd person singular familiar', '1st person singular']",language -  -  -  -  -  -  -  -  - ,1.0,False
148,"to take along with, go along with ",60,60_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['before, in front of, first', 'to begin, the beginning ', 'before, first']",human activity -  -  -  -  -  -  -  -  - ,0.9378714254986652,False
149,"downriver, south",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
150,flowing water with debris in it,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,1.0,False
151,"wash, wipe with water",54,54_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wash, wipe with water', 'clean ', 'to fade, wash out, become clean ']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
152,Bahnar,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.7881945842297116,False
153,small bamboo basket,77,77_basket_back_small_decorative,"['basket', 'back', 'small', 'decorative', 'belongings', 'bottom', 'cage', 'market', 'backbasket', 'drying']","['type of basket', 'small back basket ', 'small back basket']",basket - back - small - decorative - belongings - bottom - cage - market - backbasket - drying,0.5644811065718679,False
154,harlot ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
155,see clearly,19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,0.6714109723912929,False
156,spoon,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
157,nighthawk,63,63_morning_night_early_evening,"['morning', 'night', 'early', 'evening', 'star', 'nightblindness', 'oclock', 'afternoon', 'nighthawk', 'three']","['at night night time', 'to go early in the morning', 'early in the morning']",morning - night - early - evening - star - nightblindness - oclock - afternoon - nighthawk - three,1.0,False
158,"each other, reciprocal ",49,49_together_meet_gather_discuss,"['together', 'meet', 'gather', 'discuss', 'sleeping', 'different', 'things', 'doing', 'reciprocal', 'company']","['together', 'to meet together, to gather things', 'to meet together']",together - meet - gather - discuss - sleeping - different - things - doing - reciprocal - company,1.0,False
159,fight each other ,62,62_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to try to win, to have a contest ', 'to knock; to fight each other', 'fight each other ']",human activity -  -  -  -  -  -  -  -  - ,0.9507195983511504,True
160,very good friend apparently with special bond or contract ,25,25_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['group kind type race of people', 'person, people ', 'people ']",human activity -  -  -  -  -  -  -  -  - ,0.7652216889357368,False
161,to know,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
162,fat ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
163,"craw, crop of birds",26,26_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a type of bird', 'bird', 'bird']",animals activity -  -  -  -  -  -  -  -  - ,0.7761814015564261,False
164,to shove,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
